avg_speed_ratio,trend,is_peak_hour,event_nearby,congested
0.542471420703123,-0.44953904903095887,0,0,0
0.560508472090969,0.48423007814609265,0,1,0
0.34411039188324555,0.30781223636071475,1,1,1
0.795791476908775,-0.19082069434927496,0,0,0
0.7583527917426047,-0.029133306394299452,0,0,0
0.6258321112017309,0.2265759792020422,0,0,0
0.3253753529806572,0.1760320858394464,0,1,1
0.6454918282857014,-0.03691910118576425,1,1,1
0.2801067377176163,0.01238990069906687,1,0,1
0.4714976209138052,-0.4567923195835675,0,0,1
0.4978862742341703,0.0006332444869485698,1,0,1
0.9067403140325156,-0.15975310827596356,1,0,0
0.5324496603555082,-0.21494879952504364,0,1,0
0.6787758949006376,-0.230377575231814,0,1,0
0.8998231903231872,0.1489468973564484,0,0,0
0.5406075510045036,-0.07074237927868143,0,1,1
0.9069628160565857,-0.0741975915720755,0,0,0
0.3091690500213118,-0.34081300864852127,1,0,1
0.4918745257279679,0.46186356824361696,1,1,1
0.2757817992531717,-0.2760737975494486,0,0,0
0.6487437034250279,-0.09389079339921536,1,0,1
0.965825648326242,-0.30979523582026103,1,0,0
0.7255614682570122,0.20314285238914787,0,0,0
0.7008604938789988,-0.06387125353914569,0,0,0
0.4225269057945107,-0.08635006098189846,0,1,1
0.9448854068984975,0.3750948853890671,0,1,0
0.5772278278205556,0.2594798497934533,0,0,0
0.4136016424366553,0.0198750528891809,1,1,1
0.9901599843464062,-0.031409595958862946,0,0,0
0.5384991470357912,0.45990139779705574,0,0,0
0.49719918592763535,0.4564621646912369,0,1,0
0.22796901383906754,0.20477086790988763,1,0,0
0.34263597851574606,0.2601479264864329,1,1,1
0.8473530840578243,0.3990929081538158,1,0,0
0.5861560836817202,0.4643087558707376,0,1,0
0.9638997815401549,-0.4177252337291767,0,0,0
0.2671086425788651,0.49733883247058175,1,0,1
0.6927547539187455,0.20302221496939865,0,1,0
0.7759873180346524,0.09274485419162759,0,0,0
0.6969465011716829,-0.0868328746731023,1,0,0
0.6239020481006845,-0.16361010631396256,0,0,0
0.6626386562709687,0.3042102085239773,0,1,0
0.7516396731011361,0.1544350565466125,1,1,0
0.8906108349100232,-0.29929483117850597,1,1,0
0.4690757154277487,0.10991103713400596,1,1,1
0.5677232643533341,-0.3588338982785346,0,1,0
0.7087276692937368,-0.003125173493871425,0,0,0
0.45137276186115804,0.08345763783464843,0,1,0
0.3430262927573563,0.13568407074403233,1,1,1
0.9729350054225065,-0.3547378102765648,1,1,0
0.35578311103698984,-0.40440147134922966,0,1,0
0.3861864763218006,-0.24129183402464216,1,1,1
0.6949488803860739,0.10702983215461348,1,1,0
0.26189464793720224,0.4316828139709228,1,0,1
0.2272381230521653,0.2791235309003536,0,0,0
0.2512108830442789,0.24571052517242742,1,0,1
0.29861091662861466,-0.16976765544228412,0,1,1
0.5433574897073498,-0.38829262022484146,0,0,0
0.8634085147715931,0.391939406120252,1,0,0
0.4735775144764219,0.0008535050166287306,0,1,0
0.5420251317179359,-0.399489153795748,1,0,0
0.6802008742686936,0.03496873011717916,0,1,0
0.44171554049900896,0.1754102426652563,1,1,1
0.5460303030143844,-0.18009997039766157,0,0,0
0.5090493494914887,-0.49075106831636417,0,1,1
0.4735068333200159,0.12160696214776212,0,1,1
0.51071453558563,-0.459904481570515,0,0,0
0.2088941683296507,-0.06720670912881277,1,1,1
0.9090085344972678,0.3247752281268471,0,1,0
0.9818774379589528,0.4988476323424802,0,1,0
0.8899969531329106,-0.12969708601583252,1,0,0
0.20459381924339334,-0.4798730734998029,0,0,0
0.8007084373556976,-0.00709689806122793,0,0,0
0.6584801380693708,-0.22372460256800775,1,0,0
0.2753399288062003,0.3927750135891924,0,1,0
0.9462873079036782,0.21150315032769396,0,1,0
0.8209737033781095,-0.09567673119404752,0,1,0
0.31623702915847496,0.2620282309181695,1,0,1
0.971233143754797,-0.15879413107706752,1,1,0
0.3009590022485121,0.02176358511378984,0,1,1
0.5637439028074268,0.42278527979917035,1,1,1
0.32718058612733836,-0.29984273376297055,0,0,1
0.3201526360463236,-0.18694199809329393,0,1,1
0.9742445906996882,0.38559341252695944,1,0,0
0.6576982251138721,-0.03812163968958826,1,1,0
0.407339934154402,-0.18211117132642118,1,0,0
0.8211194966932267,-0.4627013298160595,0,0,0
0.9001955194420059,-0.08104696241309894,1,1,0
0.9340831494302231,0.0006011113688091374,1,0,0
0.9463879767734977,-0.09366713267891269,0,0,0
0.9244654638042362,-0.2225407662294412,0,0,0
0.7111459167412566,-0.13086982644613387,0,1,0
0.4739733198456457,0.14244479855371972,1,0,1
0.9404541419511057,0.3912797199630025,1,0,0
0.29799722240030885,0.1496758225775019,1,0,1
0.335039852040654,0.1461624359737661,0,1,0
0.5470620323965552,0.3168748619808778,0,0,0
0.4269319537705453,-0.33485722226673365,1,0,1
0.6925862513790971,-0.19890237054186155,1,0,1
0.9242415383716986,-0.44940901702512903,0,0,0
0.5928250610979582,-0.1503622031267594,0,0,0
0.6430964747348258,0.4988237822665057,0,1,0
0.538506983184874,-0.17068760463442412,0,0,0
0.7660553279807509,0.35977299602590707,0,1,0
0.28055102387697106,-0.41422228606956757,1,1,1
0.23887190874124925,-0.04028763666400059,1,1,1
0.7130707795465303,-0.14853713461836338,0,0,0
0.6279028361233215,-0.2984171367685844,0,1,0
0.5258864232155022,-0.12749374294313598,0,0,0
0.4671941135033376,0.1512781114139471,1,0,0
0.24144595523450044,-0.009691925110907107,0,0,1
0.7444449299311984,0.34433403120846173,0,1,0
0.5371740286565738,0.4049466068483374,1,1,1
0.5562144316156934,-0.018107168830555187,0,0,0
0.9147558811295136,0.48172631415111966,0,0,0
0.790038306018783,-0.42797923646341607,0,1,0
0.3755545189546332,-0.2236607786637519,0,1,1
0.7257331972174261,-0.08328872959142408,1,1,0
0.30580425480292617,0.08270151035832729,1,0,1
0.35525109428171453,0.04592974131321059,1,1,0
0.7713193925859476,0.06797676378207373,0,1,0
0.3007123345999181,0.39625072260863115,0,1,1
0.42415516109678236,-0.22243480804669402,0,0,0
0.9184482143868316,0.31685374558862867,0,1,0
0.7906523826252367,0.058000554127659254,0,0,0
0.943567614112816,-0.009509517077308738,1,1,0
0.9054666735689627,-0.20058657437453087,1,0,0
0.45006353758025003,-0.1959311972399972,0,0,1
0.7059019475848294,-0.11152012855511295,1,0,0
0.5029565424974187,0.26351048809969146,1,1,1
0.7576834653008877,-0.02326711240772894,0,1,0
0.4787656173207304,-0.34616631474375004,1,1,1
0.20105389750404737,0.25986317734279984,1,0,1
0.2751505721374284,0.16337998791586839,0,0,1
0.8168098609782193,0.44923876840116705,1,0,0
0.26720419581780885,0.029414101619543276,1,1,1
0.6795381465921939,0.15442214245780417,0,0,0
0.8862228098873539,-0.02066972723878857,1,0,0
0.7928809894736901,0.18078020827796437,1,1,0
0.5307510358556327,-0.0638829367998166,0,1,0
0.3668833722345224,-0.3621435212641756,0,1,1
0.9380299901934621,0.4866832362991309,0,1,0
0.653119745428048,0.22036370279585538,0,0,0
0.5243360474136447,0.10862582522985142,0,0,1
0.9536461592186227,-0.01857924981448056,0,1,0
0.3720141950975287,0.21142900218866523,1,0,1
0.5538254979628972,-0.37322507786481907,0,1,0
0.2869165673308051,-0.17388660185830584,1,1,1
0.2999042087196306,-0.37530064923711415,1,1,1
0.5188770047974681,-0.3739749039017959,0,0,0
0.7597282847880793,-0.4786524551227992,1,0,0
0.47111515532334675,0.2558934151415505,0,1,0
0.7516783780824017,-0.2726913753748208,0,0,0
